id,cast,release_year,duration_int,duration_type
ds1,"chris diamantopoulos, tony anselmo, tress macneille, bill farmer, russi taylor, corey burton",2016,23.0,min
ds2,"jim varney, noelle parker, douglas seale",1988,91.0,min
ds3,"raymond albert romano, john leguizamo, denis leary, queen latifah",2011,23.0,min
ds4,"darren criss, adam lambert, derek hough, alexander jean, fall out boy, jimmie allen",2021,41.0,min
ds5,"john lennon, paul mccartney, george harrison, ringo starr",2021,1.0,season
ds6,"jacques yves cousteau, vincent cassel",2021,94.0,min
ds7,"jeremy renner, hailee steinfeld, vera farmiga, fra fee, tony dalton, zahn mcclarnon",2021,1.0,season
ds8,"gary muehlberger, mary miller, curly leach, sam carlson, stuart andrews, david squibb",2015,2.0,season
ds9,"dr. ray ball, dr. lauren smith, chris massaro, tiffany burns, mike burns, melinda mendolusky",2019,2.0,season
ds10,"steve whitmire, dave goelz, bill barretta, eric jacobson",2008,45.0,min
ds11,"don hahn, kathryn beaumont, pete docter, kevin feige, mark hamill, bob iger",2020,59.0,min
ds12,,2020,4.0,min
ds13,"stacy keach, john lasseter, brad bird, john musker, ron clements, frank thomas",2007,91.0,min
ds14,"dr. michelle oakley, zachary fine",2013,10.0,season
ds15,michael b. jordan,2021,2.0,min
ds16,,2021,1.0,min
ds17,"jack dylan grazer, marco barricelli",2021,8.0,min
ds18,"mia jenness, alyson hannigan, rob riggle, spencer moss, dana heath",2018,3.0,season
ds19,"carolina domenech, josé jiménez zapiola, kevsho, elena roger, clara alonso, emilia mernes",2021,1.0,season
ds20,"amy adams, patrick dempsey, james marsden, timothy spall, idina menzel, susan sarandon",2007,110.0,min
ds21,"stephen apostolina, kirk baily, ben bledsoe, david cowgill, terri douglas, fuschia!",2014,8.0,min
ds22,"kristen bell, idina menzel, jonathan groff, josh gad, santino fontana, chris williams",2015,11.0,min
ds23,"walt disney, marcellite garner, russi taylor, billy bletcher, will ryan, bob bergen",2013,7.0,min
ds24,"ellie kemper, rob delaney, archie yates, aisling bea, kenan thompson, tim simons",2021,95.0,min
ds25,"dwayne johnson, emily blunt, edgar ramirez, jack whitehall, jesse plemons, paul giamatti",2021,129.0,min
ds26,chris hemsworth,2021,2.0,min
ds27,,2021,14.0,min
ds28,,2021,1.0,min
ds29,josh gad,2021,1.0,season
ds30,"john kahrs, kari wahlgren",2012,7.0,min
ds31,"pete docter, larry the cable guy, jack dylan grazer, domee shi, angus maclane",2021,5.0,min
ds32,"simu liu, awkwafina, tony leung, michelle yeoh, meng'er zhang, ben kingsley",2021,134.0,min
ds33,"avantika, michael bishop, anna cathcart, jahbril cook, kerri medders, aryan simhadri",2021,94.0,min
ds34,"mandy moore, zachary levi, alan dale, paul f. tompkins, kari wahlgren, mark allen stewart",2012,9.0,min
ds35,billy connolly,2011,8.0,min
ds36,,2006,7.0,min
ds37,"billie eilish, finneas, gustavo dudamel, patrick osborne, robert rodriguez",2021,30.0,min
ds38,"kyla pratt, tommy davidson, paula jai parker, jomarie payton, cedric the entertainer",2021,1.0,min
ds39,"dan castellaneta, nancy cartwright, yeardley smith, tress macneille, hank azaria",2021,6.0,min
ds40,,2010,6.0,min
ds41,,2021,22.0,min
ds42,,2021,3.0,min
ds43,"jason lee, david cross, jenny slate, justin long, matthew gray gubler, jesse mccartney",2011,87.0,min
ds44,"arnold schwarzenegger, sinbad, phil hartman, rita wilson, robert conrad, martin mull",1996,90.0,min
ds45,"larry the cable guy, brian stepanek, santino marella, kennedi clements, kirsten robek, rachel hayward",2014,91.0,min
ds46,"betty white, dave foley, derek richardson, sarah chalke, w. morgan sheppard",2010,8.0,min
ds47,"christopher lloyd, danny woodburn, craig anton, michael teigen, ben giroux, paul rae",2009,93.0,min
ds48,"dominic scott kay, john kapelos, lise simms, mike dopud, charles c. stevenson jr., dylan minnette",2008,91.0,min
ds49,"f.t. anderson, diedrich bader, field cate, kendall cross, mike dopud, mark downey",2009,87.0,min
ds50,"resse alexander, diedrich bader, sahar biniaz, jan boss, ameko eks mass carroll, melody choi",2010,101.0,min
ds51,"james mcavoy, michael fassbender, rose byrne, jennifer lawrence, january jones, nicholas hoult",2011,132.0,min
ds52,"justin felbinger, amanda leighton, bill farmer, brenda song",2018,3.0,season
ds53,joel sartore,2017,1.0,season
ds54,,2021,1.0,season
ds55,,2021,44.0,min
ds56,"kevin costner, maria bello, morgan saylor, martha higareda, michael aguero, sergio avelar",2015,131.0,min
ds57,"thomas ian nicholas, gary busey, albert hall, amy morton, dan hedaya, eddie bracken",1993,104.0,min
ds58,"gino conforti, barbara cook, jodi benson, will ryan, june foray, kenneth mars",1994,87.0,min
ds59,"kyle breitkopf, jacob ursomarzo, addison holley",2015,5.0,season
ds60,,2021,1.0,season
ds61,dr. albert yu-min lin,2021,44.0,min
ds62,albert lin,2021,44.0,min
ds63,"bill anders, jack clemons, fred haise, glynn lunney, jay barbree, brad vinikow",2019,1.0,season
ds64,"mckenna grace, lexi underwood, cedric joe, tim heidecker, riki lindhome, nasim pedrad",2021,1.0,season
ds65,naomi watts,2020,2.0,season
ds66,,2020,1.0,season
ds67,,2021,1.0,season
ds68,,2020,1.0,season
